Platform,Title,Genre,Publisher,Developer,Release Date,Audience Rating
PlayStation 2,Resident Evil Outbreak,Survival Horror,Capcom,Capcom,1-Apr-04,Mature
PlayStation 2,Resident Evil: CODE: Veronica X,"Action/Adventure, Survival Horror",Capcom,Capcom,19-Jun-01,Mature
PlayStation 2,Return to Castle Wolfenstein: Operation Resurrection,"FPS, Shooter",Activision,Raster Productions,27-May-03,Mature
PlayStation 2,Ring of Red,Strategy,Konami,Konami,14-Mar-01,
PlayStation 2,Silent Hill 2,Survival Horror,Konami Digital Entertainment,Konami,28-Sep-01,Mature
PlayStation 2,Silent Hill 3,"Action/Adventure, Survival Horror",Konami Digital Entertainment,Konami,6-Aug-03,Mature
PlayStation 2,Silent Hill 4: The Room,"Action, Survival Horror",Konami Digital Entertainment,Konami,7-Sep-04,Mature
PlayStation 2,Silent Hill: Shattered Memories,Action/Adventure,Konami Digital Entertainment,Konami,19-Jan-10,Mature
PlayStation 2,Silent Line: Armored Core,Action,Agetec,From Software,16-Jul-03,Teen
PlayStation 2,Siren,"Action/Adventure, Adventure",Sony,SCEJ,21-Apr-04,
PlayStation 2,SoulCalibur III,Fighting,Namco Bandai,Bandai Namco,25-Oct-05,Teen
PlayStation 2,Star Ocean: Till the End of Time,RPG,Square Enix,Tri-Ace,31-Aug-04,Teen
PlayStation 2,Star Wars: Battlefront,"FPS, Shooter",LucasArts,LucasArts,20-Sep-04,Teen
PlayStation 2,Star Wars: Battlefront II,"FPS, Shooter",LucasArts,Pandemic Studios,1-Nov-05,Teen
PlayStation 2,Tekken Tag Tournament,Fighting,Namco,Namco,17-Oct-00,
PlayStation 2,Tenchu: Wrath of Heaven,"Fighting, Simulation",Activision,K2,4-Mar-03,Mature
PlayStation 2,Tetris Worlds,Puzzle,THQ,Blue Planet Software,19-Mar-02,Everyone
PlayStation 2,Tokyo Xtreme Racer 3,Racing,Crave Entertainment,Genki,20-Nov-03,
PlayStation 2,Tokyo Xtreme Racer Drift,Racing,Crave Entertainment,Genki,23-May-06,Everyone
PlayStation 2,Tokyo Xtreme Racer DRIFT 2,Racing,Crave Entertainment,Genki,16-Apr-07,
PlayStation 2,Tokyo Xtreme Racer: Zero,Racing,Crave,Genki Co. Ltd.,30-May-01,
PlayStation 2,Tribes: Aerial Assault,"Action, Shooter",Vivendi Games,Inevitable Entertain.,24-Sep-02,Teen
PlayStation 2,True Crime: Streets of L.A.,"Action, Racing, Shooter",Activision,Luxoflux,4-Nov-03,Mature
PlayStation 2,We Love Katamari,Puzzle,Namco Bandai,Bandai Namco,20-Sep-05,Everyone
PlayStation 2,Winback 2: Project Poseidon,"Action, Tactical",KOEI,Cavia Inc.,25-Apr-06,Teen
PlayStation 2,WinBack: Covert Operations,"Action, Shooter",Midas Interactive,KOEI,28-Mar-01,
PlayStation 2,Yakuza,"Action/Adventure, Fighting",Sega of America,SEGA,5-Sep-06,Mature
PlayStation 2,Yakuza 2,Action/Adventure,Sega of America,SEGA,9-Sep-08,Mature
PlayStation 2,Zone of the Enders,"Action, Action/Adventure, Shooter",Konami,Konami,27-Feb-01,
PlayStation 2,Zone of the Enders: The 2nd Runner,"Action/Adventure, Hack & Slash, Shooter",Konami Digital Entertainment,Konami,11-Mar-03,Mature
PlayStation 3,Armored Core 4,Action,Sega of America,From Software,20-Mar-07,Teen
PlayStation 3,Assassin's Creed IV: Black Flag,Action,Ubisoft,Ubisoft,29-Oct-13,
PlayStation 3,Birds of Steel,"Flight Simulation, Simulator",Konami Digital Entertainment,Gaijin Entertainment,13-Mar-12,
PlayStation 3,Brothers in Arms: Hell's Highway,"FPS, Strategy",Ubisoft,Gearbox Software,23-Sep-08,Mature
PlayStation 3,Call of Duty World at War,FPS,Activision,Treyarch,11-Nov-08,Mature
PlayStation 3,Call of Duty: Black Ops,FPS,Activision,Treyarch,9-Nov-10,Mature
PlayStation 3,Dante's Inferno,Action,Electronic Arts,Visceral Games,9-Feb-10,Mature
PlayStation 3,Dead Space,"Action, Survival Horror",Electronic Arts,Visceral Games,14-Oct-08,Mature
PlayStation 3,Dead Space 2,Survival Horror,Electronic Arts,Visceral Games,25-Jan-11,Mature
PlayStation 3,Demon's Souls,"Action/Adventure, RPG",Atlus USA,From Software,6-Oct-09,Mature
PlayStation 3,Dishonored,"Action/Adventure, FPS",Bethesda Softworks,Arkane Studios,12-Oct-12,Mature
PlayStation 3,Disney Infinity,Action/Adventure,Disney Interactive Studios,,23-Aug-13,
PlayStation 3,The Elder Scrolls V: Skyrim,RPG,Bethesda Softworks,Bethesda Softworks,11-Nov-11,
PlayStation 3,Final Fantasy XIII,RPG,Square Enix,Square Enix,9-Mar-10,
PlayStation 3,Genki Wangan Midnight,,,,,
PlayStation 3,Ghostbusters: The Video Game,"Action/Adventure, Shooter",Atari,Terminal Reality,16-Jun-09,Teen
PlayStation 3,The Godfather: The Don's Edition,Sandbox,Electronic Arts,EA Games,20-Mar-07,Mature
PlayStation 3,Gran Turismo 5,Racing,SCEA,Polyphony D.,24-Nov-10,Everyone
PlayStation 3,Gran Turismo 6,Racing,SCEA,Polyphony D.,6-Dec-13,
PlayStation 3,Grand Theft Auto V,Action,Rockstar Games,Rockstar Games,17-Sep-13,Mature
PlayStation 3,The ICO & Shadow of the Colossus Collection,"Adventure, Compilation",SCEA,SCEI,27-Sep-11,
PlayStation 3,Initial D Extreme Stage,,,,,
PlayStation 3,Katamari Forever,Puzzle,Namco Bandai,Bandai Namco,22-Sep-09,Everyone
PlayStation 3,L.A. Noire,Action/Adventure,Rockstar Games,Team Bondi,17-May-11,Mature
PlayStation 3,The Last of Us,Action/Adventure,SCEA,Naughty Dog,14-Jun-13,Mature
PlayStation 3,LittleBigPlanet 2,"Entertainment, Platformer",SCEA,Media Molecule,18-Jan-11,
PlayStation 3,Madden NFL 25,Sports,Electronic Arts,EA Sports,30-Aug-13,
PlayStation 3,Mafia II,"Action, Sandbox",2K Games,2K Czech (Illusion Softworks),24-Aug-10,Mature
PlayStation 3,Metal Gear Solid: The Legacy Collection: 1987-2012,Compilation,Konami Digital Entertainment GmbH,Kojima Productions,13-Sep-13,
PlayStation 3,Midnight Club: Los Angeles,Racing,Rockstar Games,Rockstar San Diego,20-Oct-08,
PlayStation 3,Mirror's Edge,"Action/Adventure, FPS",Electronic Arts,EA DICE,11-Nov-08,
PlayStation 3,Need for Speed Carbon,Racing,Electronic Arts,EA Black Box,17-Nov-06,Everyone 10+
PlayStation 3,Need for Speed Most Wanted (2012),Racing,Electronic Arts,Criterion Studios,2-Nov-12,
PlayStation 3,Need for Speed: ProStreet,Racing,Electronic Arts,EA Games,13-Nov-07,Everyone 10+
PlayStation 3,Need for Speed: Rivals,Racing,Electronic Arts,Ghost Games,22-Nov-13,
PlayStation 3,Rage,"Action, FPS",Bethesda Softworks,id Software,4-Oct-11,Mature
PlayStation 3,Red Dead Redemption,"Action/Adventure, Sandbox, Shooter",Rockstar Games,Rockstar San Diego,18-May-10,Mature
PlayStation 3,Resident Evil 5,"Action/Adventure, Survival Horror",Capcom,Capcom,13-Mar-09,Mature
PlayStation 3,Shift 2: Unleashed,Racing,Electronic Arts,Slightly Mad Studios,29-Mar-11,
PlayStation 3,Sleeping Dogs,Action,Square Enix,Square Enix,14-Aug-12,
PlayStation 3,Tom Clancy's HAWX,"Action, Simulator",Ubisoft,Ubisoft,3-Mar-09,Teen
PlayStation 3,Tom Clancy's Splinter Cell Trilogy,Compilation,Ubisoft,Ubisoft,27-Sep-11,Teen
PlayStation 3,Uncharted 2: Among Thieves,Action/Adventure,SCEA,Naughty Dog,13-Oct-09,Teen
PlayStation 3,Uncharted 3: Drake's Deception,Action/Adventure,SCEA,Naughty Dog,1-Nov-11,Teen
PlayStation 3,Uncharted: Drake's Fortune,"Action/Adventure, Shooter",SCEE,Naughty Dog,20-Nov-07,Teen
PlayStation 3,Wolfenstein,FPS,Activision,Raven Software,18-Aug-09,Mature
PlayStation 3,Yakuza 3,RPG,Sega of America,SEGA,9-Mar-10,Mature
PlayStation 3,Yakuza 4,RPG,Sega of America,SEGA,15-Mar-11,Mature
PlayStation 4,Alien: Isolation,FPS,Sega Europe,Creative Assembly,7-Oct-14,
PlayStation 4,Battlefield 1,FPS,Electronic Arts,EA DICE,21-Oct-16,
PlayStation 4,Bloodborne,RPG,SCEE,From Software,25-Mar-15,
PlayStation 4,Call of Duty: WWII,FPS,Activision,Sledgehammer Games,3-Nov-17,
PlayStation 4,Crash Bandicoot N.Sane Trilogy,Platformer,Activision,Vicarious Visions,30-Jun-17,
PlayStation 4,Dark Souls III,RPG,Bandai Namco,From Software,12-Apr-16,
PlayStation 4,Detroit: Become Human,Action/Adventure,SIEE,Quantic Dream,25-May-18,
PlayStation 4,Dying Light,"FPS, Survival Horror",Warner Bros Interactive,Techland,27-Feb-15,
PlayStation 4,Far Cry Primal,FPS,Ubisoft,Ubisoft,23-Feb-16,
PlayStation 4,Farpoint,,SIEE,Impulse Gear,17-May-17,
PlayStation 4,Final Fantasy XV,"MMORPG, RPG",Square Enix,Square Enix,29-Nov-16,
PlayStation 4,Gran Turismo Sport,Racing,SCEE,Polyphony D.,18-Oct-17,
PlayStation 4,Horizon: Zero Dawn,RPG,SIEE,Guerrilla,3-Mar-17,
PlayStation 4,Kingdom Come: Deliverance,RPG,Deep Silver,Warhorse,13-Feb-18,
PlayStation 4,LittleBigPlanet 3,Entertainment,SCEE,Sumo Digital,28-Nov-14,
PlayStation 4,Metal Gear Solid V: The Phantom Pain,Action,Konami Digital Entertainment GmbH,Kojima Productions,1-Sep-15,
PlayStation 4,Monster Hunter World,RPG,Capcom,Capcom,26-Jan-18,
PlayStation 4,Need for Speed,Racing,Electronic Arts,EA Games,5-Nov-15,
PlayStation 4,Nioh,Action,TECMO KOEI Europe,Team Ninja,8-Feb-17,
PlayStation 4,PlayStation VR Worlds,Action,SCEE,SCEE,13-Oct-16,
PlayStation 4,Project CARS,Racing,Bandai Namco,Slightly Mad Studios,8-May-15,
PlayStation 4,Project Cars 2,Racing,Bandai Namco,Slightly Mad Studios,22-Sep-17,
PlayStation 4,Resident Evil 7 Biohazard,"Action, Survival Horror",Capcom,Capcom,24-Jan-17,
PlayStation 4,Shenmue I & II,Action/Adventure,Sega Europe,d3t,21-Aug-18,Teen
PlayStation 4,Spider-Man,Action/Adventure,SIEE,Insomniac Games,7-Sep-18,Teen
PlayStation 4,Uncharted 4: A Thief's End,Action/Adventure,SCEE,Naughty Dog,10-May-16,
PlayStation 4,Yakuza 0,Action,Sega Europe,SEGA,24-Jan-17,
PlayStation 4,Yakuza 6: The Song of Life,Action/Adventure,Sega Europe,SEGA,17-Apr-18,Mature
SNES,ActRaiser,"Action, Strategy",Enix,Enix,16-Dec-90,
SNES,Actraiser 2,Action,Enix America Corp.,Enix,30-Nov-93,
SNES,Animaniacs,"Action, Platformer",Majesco Entertainment,Konami,6-Mar-97,
SNES,BattleClash,"Action, Shooter",Nintendo,Intelligent Systems,18-Mar-92,
SNES,Brain Lord,RPG,Enix America Inc.,Enix Corporation,27-Jan-94,
SNES,Breath of Fire,RPG,SquareSoft,Capcom,1994,
SNES,Breath of Fire II,RPG,Capcom,Capcom,1995,
SNES,Choplifter III,,Ocean,Beam Software,8-Aug-94,
SNES,Chrono Trigger,"Action/Adventure, RPG",SquareSoft,Dream Project,27-Oct-95,Kids to Adults
SNES,Contra III: The Alien Wars,"Platformer, Shooter",Konami Corporation,Konami Corporation,6-Apr-92,
SNES,Demon's Crest,Action,"Capcom USA, Inc.","Capcom Co., Ltd.",20-Oct-94,
SNES,Disney's Aladdin,Platformer,Majesco Entertainment,Capcom,27-Nov-93,
SNES,Donkey Kong Country,Platformer,Nintendo,Rare,21-Nov-94,Everyone
SNES,Donkey Kong Country 2: Diddy's Kong Quest,Platformer,Nintendo,Rareware,20-Nov-95,Kids to Adults
SNES,Donkey Kong Country 3: Dixie Kong's Double Trouble,Platformer,Nintendo,Rare,23-Nov-96,Kids to Adults
SNES,Doom,FPS,Midway,"Sculptured Software, Inc.",26-Oct-95,
SNES,EarthBound,"Adventure, RPG",Nintendo,Ape,1995,Kids to Adults
SNES,Earthbound (Uncut) ,,,,,
SNES,F-Zero,Racing,Nintendo,Nintendo,1-Jan-91,
SNES,Fatal Fury,Fighting,Takara,Takara,Jan-91,
SNES,Fatal Fury 2,Fighting,Takara,SNK Corporation,3-Sep-93,
SNES,Final Fantasy II,RPG,SquareSoft,Square Co. Ltd.,Oct-91,
SNES,Final Fantasy III,RPG,SquareSoft,Square Enix,20-Oct-94,Everyone
SNES,Final Fantasy: Mystic Quest,"Action/Adventure, RPG",SquareSoft,Square Co. Ltd.,10-Sep-92,Everyone
SNES,Flashback: The Quest for Identity,Adventure,U.S. Gold Ltd.,Delphine Software International,Nov-93,
SNES,Harvest Moon,Simulation,Nintendo,Amccus,1998,
SNES,Illusion of Gaia,RPG,Nintendo,Enix Corporation,Sep-94,
SNES,Indiana Jones' Greatest Adventures,"Action, Adventure, Platformer",JVC,Factor 5,1994,
SNES,Judge Dredd,Action,Acclaim,Probe Software,1995,
SNES,Killer Instinct,Fighting,Nintendo,Rare Ltd.,21-Sep-95,Teen
SNES,Kirby Super Star,Platformer,"Nintendo of America, Inc.",Nintendo Co. Ltd.,6-Jun-96,
SNES,Kirby's Dream Course,Puzzle,Nintendo,"HAL Laboratory, inc.",21-Sep-94,Kids to Adults
SNES,The Lawnmower Man,Action,THQ,Simon Pick,Jan-94,
SNES,The Legend of Zelda: A Link to the Past,Action/Adventure,Nintendo,Nintendo,13-Apr-92,
SNES,The Lost Vikings,"Action, Strategy",Interplay,Silicon & Synapse,28-Oct-93,
SNES,Lufia & The Fortress of Doom,"Adventure, RPG",Taito,Neverland,1993,
SNES,Lufia II: Rise of the Sinistrals,RPG,Natsume,Taito,Aug-96,
SNES,Mario Paint,Party,Nintendo,Intelligent Systems,10-Dec-92,Everyone
SNES,MechWarrior 3050,"Shooter, Simulation",Activision,Activision,Oct-95,Kids to Adults
SNES,Mega Man 7,Action,Capcom,Capcom,1995,
SNES,Mega Man X,Platformer,Capcom,Capcom,17-Dec-93,Everyone
SNES,Mega Man X2,Platformer,Capcom,Capcom,3-Mar-95,Kids to Adults
SNES,Metal Marines,,Mindscape,Namco,1994,
SNES,Mighty Morphin Power Rangers,"Action, Fighting",Bandai,Bandai America Inc.,1994,
SNES,Mortal Kombat,Fighting,Acclaim,"Sculptured Software, Inc.",13-Sep-93,Mature
SNES,Mortal Kombat II,Fighting,Acclaim,"Sculptured Software, Inc.",1994,MA-17
SNES,NBA Jam,Sports,Acclaim,Iguana Entertainment,1994,
SNES,Pilotwings,Flight Simulation,Nintendo,Nintendo,21-Dec-90,
SNES,Pitfall: The Mayan Adventure,"Action, Adventure",Activision,Activision,Nov-94,
SNES,Populous,Strategy,Acclaim,Bullfrog,16-Dec-90,
SNES,Primal Rage,Action,Time Warner Interactive,"Bitmasters, Inc",1-Nov-95,
SNES,Prince of Persia,Action/Adventure,Masaya,NCS,3-Jul-92,
SNES,Prince of Persia 2,Adventure,Titus Software,Titus Software Corp.,1997,
SNES,Secret of Evermore,RPG,SquareSoft,Square Co. Ltd.,1995,Kids to Adults
SNES,Secret of Mana,RPG,SquareSoft,Square Co. Ltd.,6-Aug-93,
SNES,Shadowrun,"Adventure, RPG",Data East,Laser Beam,Nov-93,
SNES,Sid Meier's Civilization,Simulation,KOEI,KOEI,14-Dec-94,
SNES,SimCity,Simulation,"Nintendo of America, Inc.",Nintendo Co. Ltd.,1-Aug-91,Kids to Adults
SNES,Spider-Man & Venom: Maximum Carnage,Action,Acclaim,Software Creations,24-Nov-94,
SNES,Star Fox,Shooter,Nintendo,Argonaut Software Ltd.,21-Feb-93,
SNES,Street Fighter II Turbo,Fighting,Capcom,Capcom,11-Jul-93,Everyone
SNES,Stunt Race FX,"Driving, Racing",Nintendo of America,Nintendo,1994,
SNES,Super Castlevania IV,"Action/Adventure, Platformer",Majesco Entertainment,Konami,31-Oct-91,
SNES,Super Game Boy,Other,Nintendo,Nintendo,1998,
SNES,Super Ghouls 'N Ghosts,Platformer,Capcom,"Capcom Co., Ltd.",10-Dec-92,
SNES,Super Mario All-Stars,Platformer,Nintendo,Nintendo,1-Aug-93,Teen
SNES,Super Mario Kart,Racing,Nintendo,Nintendo,27-Aug-92,
SNES,Super Mario RPG: Legend of the Seven Stars,RPG,Nintendo,SquareSoft,13-May-96,Kids to Adults
SNES,Super Mario World,Platformer,Nintendo,Nintendo,1-Aug-91,
SNES,Super Mario World 2: Yoshi's Island,Platformer,Nintendo,Nintendo,6-Oct-95,Kids to Adults
SNES,Super Metroid,"Platformer, Shooter",Nintendo of America,Intelligent Systems,19-Mar-94,Kids to Adults
SNES,Super NES Nintendo Scope 6,"Action, Shooter",Nintendo,Intelligent Systems,27-Aug-94,
SNES,Super Punch-Out!!,"Action, Sports","Nintendo of America, Inc.",Nintendo Co. Ltd.,1994,
SNES,Super Star Wars,Platformer,"JVC Musical Industries, Inc.","Sculptured Software, Inc",1-Oct-92,
SNES,Super Star Wars: Return of the Jedi,Platformer,"JVC Musical Industries, Inc.",Sculptured Software,Jun-94,
SNES,Super Star Wars: The Empire Strikes Back,Platformer,JVC,"Sculptured Software, Inc.",24-Feb-94,
SNES,T2: The Arcade Game,"Action, Shooter",Majesco Entertainment,Probe Software,1-Sep-93,
SNES,Teenage Mutant Ninja Turtles IV: Turtles in Time,Fighting,Konami,Konami,24-Jul-92,
SNES,Tiny Toon Adventures: Buster Busts Loose,Platformer,"Konami of America, Inc.","Konami Co., Ltd.",18-Dec-93,
SNES,Urban Strike,"Action, Flight Simulation, Shooter",,,,
SNES,X-Men: Mutant Apocalypse,Action,Capcom,Capcom,1995,
SNES,Zombies Ate My Neighbors,Action,Konami Corporation,LucasArts,19-Jul-93,
Wii,Harvest Moon: Animal Parade,Simulator,Natsume Inc.,Natsume Inc.,10-Nov-09,
Wii,Kirby's Dream Collection: Special Edition,Platformer,Nintendo,HAL Labs,16-Sep-12,
Wii,The Legend Of Zelda: Skyward Sword,Action/Adventure,Nintendo,Nintendo,21-Nov-11,Everyone 10+
Wii,Metal Slug Anthology,"Fighting, Platformer, Shooter",SNK Playmore USA,SNK Playmore,14-Dec-06,Teen
Wii,Metroid Prime Trilogy,"Action, Compilation, FPS",Nintendo,Retro Studios,24-Aug-09,Teen
Wii,Muramasa: The Demon Blade,"Action/Adventure, Fighting",Ignition Entertainment,Vanillaware,8-Sep-09,
Wii,New Super Mario Bros. Wii,"Action, Platformer",Nintendo,Nintendo,15-Nov-09,Everyone
Wii,Punch-Out!!,Fighting,Nintendo,Nintendo,19-May-09,Everyone 10+
Wii,Red Steel,"Fighting, FPS",Ubisoft,Ubisoft,20-Nov-06,Teen
Wii,Red Steel 2,"Fighting, FPS",Ubisoft,Ubisoft,23-Mar-10,Teen
Wii,Super Mario Galaxy,Platformer,Nintendo,Nintendo,12-Nov-07,Everyone
Wii,Super Mario Galaxy 2,"Action, Platformer",Nintendo,Nintendo,24-May-10,Everyone
Wii,Super Paper Mario,"Action, Platformer",Nintendo,Intelligent Systems,9-Apr-07,Everyone
Wii,Super Smash Bros. Brawl,"Action, Fighting",Nintendo,Nintendo,10-Mar-08,Teen
Wii,Wii Fit,"Entertainment, Sports",Nintendo,Nintendo,21-May-08,Everyone
Wii,Wii Sports,"Party, Sports",Nintendo,Nintendo,17-Nov-06,Everyone
Wii U,Assassin's Creed III,Action/Adventure,Ubisoft,Ubisoft,30-Nov-12,Mature
Wii U,Bayonetta 2,"Action, Hack & Slash",Sega of America,PlatinumGames Inc.,24-Oct-14,Mature
Wii U,The Legend of Zelda: Breath of the Wild,RPG,Nintendo,Nintendo,3-Mar-17,
Wii U,The Legend of Zelda: The Wind Waker HD,"Action/Adventure, Adventure",Nintendo,Nintendo,4-Oct-13,
Wii U,The Legend of Zelda: Twilight Princess HD,"Action/Adventure, RPG",Nintendo,Nintendo,4-Mar-16,
Wii U,Mario Kart 8,Racing,Nintendo,Nintendo,30-May-14,
Wii U,Monster Hunter 3: Ultimate,Action,Capcom,Capcom,22-Mar-13,
Wii U,NES Remix Pack,"Compilation, Retro",Nintendo,Nintendo EAD,7-Nov-14,
Wii U,New Super Mario Bros U + Super Luigi U,Platformer,Nintendo,Nintendo,15-Apr-16,
Wii U,Nintendo Land,"Entertainment, Party",Nintendo,Nintendo,30-Nov-12,
Wii U,Shantae: Half-Genie Hero,Platformer,XSEED Games,WayForward,20-Dec-16,
Wii U,Shovel Knight,"Action/Adventure, Platformer",UIG Entertainment,Yacht Club Games,27-Nov-15,
Wii U,Star Fox Zero,Action/Adventure,Nintendo,Nintendo,22-Apr-16,
Wii U,Super Mario 3D World,Action,Nintendo,Nintendo,29-Nov-13,
Wii U,Super Mario Maker,"Entertainment, Platformer, Productivity",Nintendo,Nintendo,11-Sep-15,
Wii U,Wii Fit U,Sports,Nintendo,Nintendo,6-Dec-13,
Wii U,Yoshi's Woolly World,Adventure,Nintendo,Nintendo,26-Jun-15,
Wii U,ZombiU,Action,Ubisoft,Ubisoft,30-Nov-12,Everyone
